amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,fund_score,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code
118635,0.21995365120873123,0.16236841860639406,,0.6648569985490616,0.15065271641931977,0.004783934691773853,-0.1165062450540909,22.0,19.0,23.0,10.0,18.45,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Direct,2001-12-28,NIFTY 50 TRI,0.89,0.0,500,100,Vishal Jain,Moderate,EI01
120503,0.04807407420549259,0.1480416951560286,,0.7979728586052853,0.1755417235928387,0.0018104631368765333,-0.13897862823061635,24.0,17.0,18.0,14.0,18.549999999999997,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2008-05-23,NIFTY 100 TRI,1.42,1.0,500,1000,Anish Tawakley,Moderate,EC01
148568,0.1049631940675948,0.13077495792463978,,0.9262873467360144,0.20841945067406478,-0.0035965236798082716,-0.1527259422823477,25.0,15.0,14.0,19.0,18.8,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Large & Mid Cap,Regular,2010-07-09,NIFTY Large Midcap 250 TRI,1.52,1.0,500,1000,Neelesh Surana,Moderately High,EC04
102887,0.1272785953848785,0.2566304169554934,,0.6195175900829826,0.16106251568117863,0.011217405044515625,-0.21539827112383225,9.0,22.0,20.0,30.0,19.7,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Regular,2005-05-18,NIFTY 500 TRI,1.64,1.0,500,1000,Ajay Tyagi,Moderately High,EC04
120506,0.3289620693417177,0.18246287427399865,,0.6488787755249537,0.1600230125795732,0.027298914610087537,-0.1982565826298267,15.0,20.0,21.0,27.0,20.45,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Regular,2004-08-16,NIFTY 500 TRI,1.41,1.0,500,1000,Sankaran Naren,Moderately High,EC06
120507,0.07014400079311978,0.07051904540600296,,0.49572339295331247,0.06751273831066396,-0.00046135564097556954,-0.0009773140045925555,29.0,23.0,30.0,1.0,20.7,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2001-11-17,CRISIL Liquid Fund AI Index,0.74,0.0,500,5000,Rahul Goswami,Low,DC01
118633,0.28406736513935327,0.18128823270614958,,0.6452074382933211,0.15755299358545502,-0.01608648663914648,-0.18629743138595511,16.0,21.0,22.0,26.0,20.950000000000003,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.72,1.0,500,1000,Sailesh Raj Bhan,Moderate,EC01
149322,0.1912760461187113,0.16528044392382957,,0.46403744922047724,0.13307516786532644,-0.010532478260407643,-0.14844576917771746,21.0,25.0,24.0,16.0,21.35,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,Large Cap,Regular,2003-03-10,NIFTY 100 TRI,1.54,1.0,500,1000,Apoorva Shah,Moderate,EC01
120841,0.18155118861657193,0.16684258851596145,,0.4942725378672353,0.13270798966179026,-0.008324367260956674,-0.1757361416468729,20.0,24.0,25.0,24.0,23.0,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2005-12-29,NIFTY 100 TRI,1.59,1.0,500,1000,Harsha Upadhyaya,Moderate,EC01
120844,0.06837152766088916,0.0654165743882027,,-0.08874729621557284,0.0646054190026635,-0.00043750586414993296,-0.0011629327956168556,30.0,34.0,32.0,2.0,24.4,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2004-03-03,CRISIL Liquid Fund AI Index,0.6,0.0,500,5000,Deepak Agrawal,Low,DC01
119093,0.19794246952869954,0.20575450839484977,,0.1296144979566932,0.08091817265695568,0.01583015501459121,-0.21751396370148224,14.0,29.0,28.0,31.0,24.8,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.75,1.0,500,1000,Shreyash Devalkar,Moderate,EC01
118634,0.2236521211328215,0.0758063522976058,,0.4484340089089914,0.17568123177332165,0.01801235144289968,-0.2334488614483311,28.0,26.0,17.0,32.0,26.3,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2010-09-16,BSE 250 SmallCap TRI,1.53,1.0,500,1000,Samir Rachh,Very High,EC03
101208,0.0685429952818637,0.060761500834302096,,-0.8155673679088261,0.06085212112251844,0.0001258750471630133,-0.0016224980244717857,31.0,40.0,33.0,3.0,26.65,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2000-04-17,CRISIL Liquid Fund AI Index,0.79,0.0,500,5000,Maneesh Dangi,Low,DC01
119120,0.0572307956371807,0.05606028649588968,,-0.22657538662791585,0.0560605067032488,-0.00035082554474262306,-0.04328728923970093,32.0,37.0,34.0,5.0,26.900000000000002,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Regular,2000-12-30,CRISIL Dynamic Gilt Index,0.77,0.0,500,1000,Dinesh Ahuja,Low,DC02
125498,0.16670899216585977,0.12492937768565682,,0.30061192104254764,0.11764356212760835,0.018124989067816785,-0.21117279560132118,26.0,27.0,26.0,29.0,27.0,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,Direct,2013-01-01,NIFTY Midcap 150 TRI,0.78,1.0,500,1000,Chirag Setalvad,High,EC02
118636,0.10622598136417083,0.04152061472814461,,-0.3566295075143679,0.051060743722708336,-0.0019685309804787486,-0.08316361763638702,34.0,38.0,35.0,6.0,28.2,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Regular,1999-08-19,CRISIL Dynamic Gilt Index,0.55,0.0,500,1000,Vivek Sharma,Low,DC02
119092,0.034029890817970365,0.005559688070353008,,0.030784850954585923,0.06701143712338226,0.016382992455286176,-0.1440161790933726,35.0,31.0,31.0,15.0,28.2,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2010-01-05,NIFTY 100 TRI,1.64,1.0,500,1000,Shreyash Devalkar,Moderate,EC01
100025,0.025017601049311722,0.046143288414864925,,-0.5670947928476845,0.04333049544115674,-0.0034221767263396337,-0.04308263824636349,33.0,39.0,38.0,4.0,28.25,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Regular,2002-06-25,CRISIL Short Term Bond Index,0.56,0.5,500,1000,Anil Bamboli,Low,DC02
120842,0.18605448815462422,0.10040620430039637,,0.07599984804658923,0.080481558797897,-0.01350103494777851,-0.24003511326274884,27.0,30.0,29.0,33.0,29.65,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,Regular,2007-03-30,NIFTY Midcap 150 TRI,1.56,1.0,500,1000,Pankaj Tibrewal,High,EC02
101207,-0.24242050015436856,-0.026964750873929244,,0.1626607692864677,0.11024955018619279,-0.023588228858982988,-0.3544691649336603,39.0,28.0,27.0,38.0,33.6,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2007-05-31,BSE 250 SmallCap TRI,1.53,1.0,500,1000,Mircea Ciobanu,Very High,EC03
100016,-0.033055090768621787,-0.00031627759670682654,,-0.20151706755966942,0.035008020122776796,0.004843355020744262,-0.24734440880673303,36.0,35.0,39.0,34.0,35.849999999999994,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1996-09-11,NIFTY 100 TRI,1.55,1.0,500,1000,Rahul Baijal,Moderate,EC01
119599,0.1190796983675011,-0.006866124385353167,,-0.057186625828179925,0.049328065524053666,0.01007266360175662,-0.5257422117012851,37.0,32.0,36.0,40.0,36.3,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Direct,2013-01-01,BSE 250 SmallCap TRI,0.72,1.0,500,1000,R. Srinivasan,Very High,EC03
102886,-0.13226101829615933,-0.01832224809009908,,-0.2058316078547032,0.03194911544827528,-0.030680122817594854,-0.2800112356639287,38.0,36.0,40.0,35.0,37.15,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,Regular,2004-04-07,NIFTY Midcap 150 TRI,1.51,1.0,500,1000,V Srivatsa,High,EC02
119095,-0.454228926346248,-0.11065546853000663,,-0.07597357117478916,0.04875277581131942,-0.020067492788233516,-0.5167775370852656,40.0,33.0,37.0,39.0,37.4,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2013-11-29,BSE 250 SmallCap TRI,1.38,1.0,500,1000,Anupam Tiwari,Very High,EC03
